Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
Amperecloud,https://www.crunchbase.com/organization/ampere-cloud,,13189,"With Amperecloud, you can monitor and manage your entire renewable energy portfolio in real-time, access new revenue streams through peer-to-peer trading and grid services, and reduce your carbon footprint and operational costs. Amperecloud is the operating system for renewables, empowering you to harness the power of clean energy with ease and confidence.",,"Clean Energy, Energy, Energy Efficiency, Energy Management, Environmental Consulting, Hardware, Internet of Things, Renewable Energy, Software","Berlin, Berlin, Germany",Amperecloud is the leading Operating System for Renewables.,"15,456",2019-05-01,day,,"Erik Nitschke, Florian Strunck, Frederik Merz",Private,"15,842",,2024-07-30,3,Early Stage Venture,3300000,EUR,3572384,Series A,10800000,EUR,11913141,3300000,EUR,3572384,Series A,10800000,EUR,11913141,"Point Nine, Vireo Ventures, HelloWorld, Encevo, Business Angels Club Berlin-Brandenburg e.V.",9,"Energy, Hardware, Internet Services, Professional Services, Software, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.amperecloud.com/,https://de.linkedin.com/company/amperecloud,info@amperecloud.com,51-100
Byway Travel,https://www.crunchbase.com/organization/byway-travel,Growing,W8 5EH,"Byway Travel provides slow travel trips that take the scenic route to local stays, off-the-beaten-path experiences.",,"Tourism, Travel","London, England, United Kingdom","Byway Travel provides slow travel trips that take the scenic route to local stays, off-the-beaten path experiences.","15,621",2020-01-01,year,,"Cat Jones, Richard Levy",Private,"16,008",,2024-07-09,3,Early Stage Venture,5040000,GBP,6445054,Series A,6140000,GBP,7963500,5040000,GBP,6445054,Series A,5040000,GBP,6445054,"Innovate UK, Founders Factory, Heartcore Capital, Eka Ventures, Hermesa",10,Travel and Tourism,,"Europe, Middle East, and Africa (EMEA)",https://www.byway.travel/,https://www.linkedin.com/company/bywaytravel,hello@byway.travel,11-50
WealthKernel,https://www.crunchbase.com/organization/wealthkernel,Growing,,"""WealthKernel is the Amazon Web Services of savings, investment and pension infrastructure, for business using the platform it is like plugging into the central power grid instead of producing their own power.""",,"Asset Management, B2B, Developer APIs, Developer Platform, Enterprise, Finance, Financial Services, FinTech, Software, Trading Platform","London, England, United Kingdom",WealthKernel is a supplier of infrastructure for companies looking to offer digital investment services.,"15,719",2015-01-01,year,,"Joe Campbell, Karan Shanmugarajah, Yannick Brunner",Private,"16,108",,2024-01-24,7,Early Stage Venture,6000000,GBP,7630782,Series A,21501463,USD,21501463,6000000,GBP,7630782,Series A,21501463,USD,21501463,"XTX Ventures, Google for Startups, Seedcamp, Launchbay Capital, ETFS Capital",11,"Financial Services, Lending and Investments, Other, Software",,"Europe, Middle East, and Africa (EMEA)",http://www.wealthkernel.com/,https://www.linkedin.com/company/wealthkernel/,,11-50
Cozero,https://www.crunchbase.com/organization/cozero-90a8,,10119,"Cozero believes that reducing the environmental impact of businesses alone is not possible. This represents an exciting opportunity for positive, collective change. Their Climate Action Platform presents their vision for a managed transition to a low-carbon economy, offering their confidence in helping companies take the necessary steps.",,"Digital Media, Enterprise Software, Logistics, Manufacturing, Printing","Berlin, Berlin, Germany",Cozero‘s SaaS empowers companies to decarbonize and boost their business performance.,"15,801",2020-01-01,year,,"Fabian Schwarzer, Helen Tacke, Tiago Taveira",Private,"16,192",,2024-04-16,1,Early Stage Venture,6500000,EUR,6903708,Series A,6500000,EUR,6903708,6500000,EUR,6903708,Series A,6500000,EUR,6903708,"EnBW New Ventures, NewAlpha Asset Management VC, Kvanted Ventures, Torben Schreiter, Gero Decker",7,"Content and Publishing, Manufacturing, Media and Entertainment, Software, Transportation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://cozero.io,https://www.linkedin.com/company/cozero-io,info@cozero.io,11-50
Monthio,https://www.crunchbase.com/organization/monthio,,2100,"Monthio is an app which provides financial service, credit score, psd2, budget, loan, savings and front end srvices.",,Financial Services,"Copenhagen, Hovedstaden, Denmark","Monthio is an app which provides financial service, credit score, psd2, budget, loan, savings and front end srvices.","16,003",2018-01-01,day,,Mads Aarup,Private,"16,396",,2024-10-10,1,Early Stage Venture,85000000,DKK,12456764,Series A,85000000,DKK,12456764,85000000,DKK,12456764,Series A,85000000,DKK,12456764,"Harmar, Export and Investment Fund, North Ventures",3,Financial Services,,"European Union (EU), Nordic Countries, Scandinavia",https://www.monthio.dk/,https://www.linkedin.com/company/monthio/,info@monthio.com,11-50
Supervizor,https://www.crunchbase.com/organization/supervizor,Growing,75009,"Supervizor is the market leading finance quality assurance SaaS for CFOs and Chief Audit Executives. It enhances the reliability of financial data by automatically detecting anomalies and potential frauds in journal entries and other datasets within transactional systems (ERPs, T&E, etc.). Its unique AI-driven approach involves analyzing accounting data at the most detailed level and reviewing every transaction continuously across a broad spectrum of controls. Application areas include financial excellence, duplicate payments, sales tax and VAT optimization, segregation of duties, anti-corruption, regulatory compliance (SOX, FCPA) and travel and expenses oversight.",,"Accounting, Information Technology, Software","Paris, Ile-de-France, France",Supervizor is a plug and play anomaly detection software for your financials.,"16,018",2016-01-01,year,,"Alban Clot, Cyrille de Gastines",Private,"16,412",,2024-05-28,3,Early Stage Venture,20000000,EUR,21702590,Series A,23000000,EUR,25386284,20000000,EUR,21702590,Series A,23000000,EUR,25386284,"SAP.iO, Isai, Wille Finance, Orange Ventures, NewAlpha Asset Management VC",9,"Financial Services, Information Technology, Professional Services, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://supervizor.com,https://www.linkedin.com/company/supervizor,contact@supervizor.com,51-100
Panax Tech,https://www.crunchbase.com/organization/panax-tech,Growing,,Panax's AI-driven platform connects your financial data sources to give finance teams full control over cash flows and liquidity. We help companies simplify complex financial operations and reduce dependency on legacy spreadsheets and IT resources.,,"Application Performance Management, Artificial Intelligence (AI), FinTech","New York, Lincolnshire, United Kingdom",Panax Tech Ltd develops AI based treasury management tools for finance teams.,"16,050",2022-01-01,year,,"Niv Yaar, Noam Mills, Sefi Itzkovich",Private,"16,459",,2024-05-08,2,Early Stage Venture,10000000,USD,10000000,Series A,15500000,USD,15500000,10000000,USD,10000000,Series A,15500000,USD,15500000,"TLV Partners, Team8",2,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,"Greater New York Area, Europe, Middle East, and Africa (EMEA)",https://www.thepanax.com,https://www.linkedin.com/company/thepanax,marketing@thepanax.com,11-50
Tomorro,https://www.crunchbase.com/organization/leeway,Growing,75010,"Tomorro assists businesses in reducing contract management time while increasing control and visibility over legal and financial risks. It was established in 2020 and is headquartered in Paris, France.",,"Contact Management, E-Signature, Legal Tech, Productivity Tools, Software","Paris, Ile-de-France, France",Contract management that drives every team forward.,"16,081",2020-02-01,month,,"Antoine Fabre, Sebastien Decreme, Thibaut Caoudal",Private,"16,490",,2023-12-07,2,Early Stage Venture,11000000,EUR,11868783,Series A,16068783,USD,16068783,11000000,EUR,11868783,Series A,16068783,USD,16068783,"Kima Ventures, Otium Capital, henQ, Motier Ventures, Financiere Saint James",8,"Information Technology, Privacy and Security, Professional Services, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://gotomorro.com,https://www.linkedin.com/company/gotomorro,contact@gotomorro.com,51-100
Trustap,https://www.crunchbase.com/organization/trustap,Growing,T23CY5X,"Trustap is a transaction platform specifically designed to protect buyers and seller when they're transacting online or in person with strangers. The app is designed act as a third party between unknown parties to make sure transactions finish successfully and without either party being scammed. The platform works like an escrow service, holding funds securely until both parties are satisfied with the transaction.",,"E-Commerce, FinTech, Mobile Payments, Payments, Transaction Processing","Cork, Cork, Ireland",Trustap is an online payment platform for buyers and sellers to transact safely without the risk of being scammed.,"16,085",2018-11-19,day,,Conor Lyden,Private,"16,494",,2024-07-09,4,Early Stage Venture,5080000,EUR,5498550,Series A,9666497,USD,9666497,5080000,EUR,5498550,Series A,9666497,USD,9666497,"Enterprise Ireland, Middlegame Ventures, Atlantic Bridge, TX Ventures, Furthr VC",9,"Commerce and Shopping, Financial Services, Mobile, Payments, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://trustap.com,https://ie.linkedin.com/company/trustap,help@trustap.com,11-50
Qargo,https://www.crunchbase.com/organization/qargo,Growing,WC2B 4HN,"Qargo provides cloud-based transportation management software for automated logistics management. Its features include auto-import PDF, pricing engine, container load management, shipment planning, invoice and accounting management, etc. The company's contact modes are by mail, phone, and physical address.",,"Logistics, Software, Transportation","London, England, United Kingdom",Qargo is a road transport management system.,"16,232",2020-01-01,year,,"Adriaan Coppens, Joeri De Turck, Sander De Wilde",Private,"16,632",,2024-06-06,2,Early Stage Venture,11000000,GBP,14067791,Series A,20067791,USD,20067791,11000000,GBP,14067791,Series A,20067791,USD,20067791,"Stride.VC, Balderton Capital, Stephane Kurgan, Breon Thomas Corcoran",4,"Software, Transportation",,"Europe, Middle East, and Africa (EMEA)",https://www.qargo.io,https://www.linkedin.com/company/qargo-tms/,info@qargo.io,11-50
Jigsaw,https://www.crunchbase.com/organization/jigsaw-a58c,,,,,"Computer, Data Visualization, Legal Tech, Software","London, England, United Kingdom","Jigsaw builds diagrams, allowing users to both visualize and manipulate the complex underlying data.","16,395",2004-01-01,year,,,Private,"16,796",,2024-04-29,1,Early Stage Venture,12000000,GBP,15071458,Series A,12000000,GBP,15071458,12000000,GBP,15071458,Series A,12000000,GBP,15071458,"Morgan Stanley, Exor Ventures, KKR India Asset Finance",3,"Consumer Electronics, Data and Analytics, Design, Hardware, Information Technology, Professional Services, Software",,"Europe, Middle East, and Africa (EMEA)",https://jigsawcreate.com,https://www.linkedin.com/company/jigsawcreate,,11-50
Nasekomo,https://www.crunchbase.com/organization/nasekomo,Growing,1606,"Nasekomo is revolutionizing the human food chain by producing animal feeds from organic waste thanks to insect’s tremendous biological powers. Our company increases farmed animal outputs, welfare and health by bringing back in their plates insects, a historical component of their natural diets with amazing nutritional benefits and immunity enhancers. Our agrobiotech startup impacts humans food by allowing higher quality proteins inclusion at better prices for everyone. We make our world a better place by reducing food waste, greenhouse gas emissions, depletion of fragile resources such as pure water, arable lands and marine life stocks and Europe's external dependency on proteins. Insects are the missing link in our food life cycle and we will unleash their true beneficial potential for tomorrow’s sustainable world",,"Agriculture, Alternative Protein, Animal Feed, Farming","Sofia, Grad Sofiya, Bulgaria",Nasekomo is revolutionizing the human food chain by producing animal feeds from organic waste using bioconverting insects.,"16,396",2017-06-01,month,,"Marc Bolard, Olga Marcenac, Xavier Marcenac",Private,"16,817",,2024-01-11,5,Early Stage Venture,8000000,EUR,8785957,Series A,22500000,EUR,24675641,8000000,EUR,8785957,Series A,13000000,EUR,14521900,"European Union, New Vision 3, Chivas Venture, Invenio partners, Morningside Hill Capital Management",5,"Agriculture and Farming, Food and Beverage",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.nasekomo.life,https://www.linkedin.com/company/nasekomo/,xavier.marcenac@nasekomo.life,11-50
Mimo,https://www.crunchbase.com/organization/mimo-71e8,,N13 4BS,"Managing money coming in, money going out and the resulting cash flow is complex. The process is fragmented across banks, accounting platforms, accountants, FX tools, lenders, and more. At best, this complexity is an annoyance. At worst, it kills your company.  Mimo offers a beautiful, easy-to-use tool to manage, understand and control payments and cash flow – saving you time and money.",,,"London, England, United Kingdom","Mimo offers a beautiful, easy-to-use tool to manage, understand and control payments and cash flow – saving you time and money.","16,971",2023-01-01,year,,"Alexander Segerby, Andreas Meisingseth, Henrik Grim",Private,"17,411",,2024-04-11,1,Early Stage Venture,15500000,GBP,19457158,Series A,15500000,GBP,19457158,15500000,GBP,19457158,Series A,15500000,GBP,19457158,"Northzone, Seedcamp, Cocoa, Upfin",4,,,"Europe, Middle East, and Africa (EMEA)",https://www.mimohq.com/,https://www.linkedin.com/company/joinmimo/,hello@mimohq.com,1-10
Tuio,https://www.crunchbase.com/organization/tuio-dd2e,,28016,"Tuio is an insurance company that provides a digital platform providing house or property insurance. Tuio offers 100% digital home insurance at affordable prices to protect what matters most to customers. Tuio provides a monthly subscription service, allowing customers to pay only for what they require when they require it.",,"Insurance, Online Portals, Property Insurance","Madrid, Madrid, Spain",Tuio is an insurance company that provides a digital platform providing house or property insurance.,"17,024",2020-01-01,year,,"Asis Pardo Martin, Josemaría Lucas, Juan García",Private,"17,441",,2024-09-19,4,Early Stage Venture,15000000,EUR,16739203,Series A,18450000,EUR,20212414,15000000,EUR,16739203,Series A,18450000,EUR,20212414,"BlackRock, Indexa Capital, Bewa7er, Otium Capital, MassMutual Ventures",11,"Financial Services, Internet Services",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://tuio.com/,https://www.linkedin.com/company/somostuio/,hola@tuio.com,11-50
Patchstack,https://www.crunchbase.com/organization/webarx,Growing,W6 0NE,"WebARX is a complete website security and monitoring platform including web application firewall, uptime monitoring, domain reputation checks, and security scans on a single dashboard. WebARX analyses around 3000 hacking incidents per day, which comes from our private threat intelligence. Compared to similar service providers on the market, WebARX has put web application firewall, uptime monitoring, domain reputation checks and security scans on a single dashboard, available even to small website owners.",,"Cyber Security, Open Source, Web Apps","London, England, United Kingdom",Patchstack is a website security and monitoring platform.,"17,195",2017-09-13,day,,"Oliver Sild, Tauri Karson",Private,"17,639",,2024-09-16,7,Early Stage Venture,5000000,USD,5000000,Series A,7160040,USD,7160040,5000000,USD,5000000,Series A,5000000,USD,5000000,"European Innovation Council, LIFT99, Google for Startups, Giesecke+Devrient Ventures, TrueSight Ventures",14,"Apps, Information Technology, Privacy and Security, Software",,"Europe, Middle East, and Africa (EMEA)",https://patchstack.com,https://www.linkedin.com/company/webarx/,agnes@webarxsecurity.com,11-50
shipzero,https://www.crunchbase.com/organization/shipzero,,20457,"At shipzero, our mission is to enable effective emissions reduction in global freight transportation. We help shippers, logistics service providers and carriers to manage transport emissions and facilitate their path to net-zero emissions with decision-focused information from our data-driven software-solution.",,"Data Integration, Logistics, SaaS, Sustainability, Transportation","Hamburg, Hamburg, Germany","Enabling accurate measurement, accounting and reduction of emissions on a global scale to move towards net-zero logistics.","17,326",2018-10-01,month,,"Mirko Schedlbauer, Tobias Bohnhoff",Private,"17,771",,2024-05-27,2,Early Stage Venture,8000000,EUR,8689135,Series A,8000000,EUR,8689135,8000000,EUR,8689135,Series A,8000000,EUR,8689135,"ETF Partners, Rethink Ventures, Raspberry, Zu na mi, Rainmaking",5,"Data and Analytics, Information Technology, Software, Sustainability, Transportation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.shipzero.com,https://www.linkedin.com/company/shipzero/,info@shipzero.com,11-50
NOVAMEAT,https://www.crunchbase.com/organization/novameat,Growing,08018,"NOVAMEAT develops cutting-edge technological solutions to feed the planet’s growing population with plant-based foods in order to overcome the challenges of today’s unsustainable and inefficient animal agriculture industry and create a healthy, efficient, humane and sustainable food supply system. NOVAMEAT's proprietary technologies allow producing plant-based meat substitutes with the same texture, appearance, taste and nutritional properties as a variety of animal meat products, including beef steaks. NOVAMEAT was recently featured on Bloomberg, Forbes, Business Insider, CBS, Techcrunch, Seeker, Mashable, Euronews, Newsweek, Mirror, El Pais, and CNN.",,"Alternative Protein, Food and Beverage, Food Processing, Plant-Based Foods","Barcelona, Catalonia, Spain",NOVAMEAT develops cutting-edge technological solutions to feed the planet’s growing population with plant-based foods.,"17,340",2018-11-02,day,,Giuseppe Scionti,Private,"17,786",,2024-09-12,4,Early Stage Venture,17400000,EUR,19167429,Series A,22920000,EUR,25442612,17400000,EUR,19167429,Series A,22920000,EUR,25442612,"Forbion Capital Partners, Sofinnova Partners, Rubio Impact Ventures, VU Venture Partners, Unovis Asset Management",10,Food and Beverage,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.novameat.com/,https://www.linkedin.com/company/novameat,hi@novameat.com,11-50
Deskpro,https://www.crunchbase.com/organization/headstart-solutions,Growing,SW6 3JA,"Deskpro is a Cloud and On Premise customer service platform which empowers organizations to grow their customer relationships. The platform is multi-channel across email, chat, web forms, voice and social and includes tools for publishing customer help centres.",,"CRM, Information Technology, Software, Ticketing","London, England, United Kingdom",Deskpro is a Cloud and On Premise customer service platform which empowers organizations to grow their customer relationships,"17,376",2002-01-01,year,,Chris Padfield,Private,"17,804",,2024-06-25,1,Early Stage Venture,25000000,USD,25000000,Series A,25000000,USD,25000000,25000000,USD,25000000,Series A,25000000,USD,25000000,Elsewhere Partners,1,"Events, Information Technology, Media and Entertainment, Sales and Marketing, Software",,"Europe, Middle East, and Africa (EMEA)",http://www.deskpro.com,https://www.linkedin.com/company/deskpro,sales@deskpro.com,51-100
Tonic App,https://www.crunchbase.com/organization/tonic-app,Growing,4200-192,"Tonic App is a medical application that ensures the quality and safety of its clinical algorithms and is accredited as an e-library by the European Accreditation Council in CME (UEMS-EACCME). It improves clinical work efficiency by allowing for quick and safe discussion of patient cases, team collaboration, and the collection of content and tools for day-to-day professional use. The company was established in 2016 and is headquartered in Porto, Portugal.",,"Database, Health Care, Health Diagnostics, iOS, Medical, Productivity Tools, Software","Porto, Lisboa, Portugal",Tonic App is a mobile app that facilitates health content aggregation and medical team collaboration using productivity-focused tools.,"17,394",2016-01-01,year,,,Private,"17,823",,2024-03-26,3,Early Stage Venture,10850000,EUR,11753262,Series A,14350000,EUR,15634935,10850000,EUR,11753262,Series A,14350000,EUR,15634935,"TheVentureCity, Vesalius Biocapital Partners, Shilling, Portugal Ventures, Armilar Venture Partners",8,"Data and Analytics, Health Care, Mobile, Platforms, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://tonicapp.io/,https://www.linkedin.com/company/tonicapp/,hello@tonicapp.com,11-50
UpHill,https://www.crunchbase.com/organization/uphill,,1990-095,"UpHill is a digital health startup that orchestrates care. Our clinical pathway software integrates with existing hospital information systems to automate tasks and bridging gaps in care. With UpHill, hospitals have a comprehensive view of their patient's status throughout their journeys as individuals and as a population. By applying evidence-based knowledge through stepwise clinical pathways, UpHill enables health teams to improve outcomes and streamline care.  The companies works with leading healthcare providers and life science companies across Europe to reduce waste associated with care variability and fragmentation while improving patient outcomes and hospital revenues. UpHill's mission is to help people both healthcare professionals and patients to always provide and receive the best care.",Yes,"Health Care, Medical Device, mHealth","Lisbon, Lisboa, Portugal",UpHill is a digital health startup that creates software to guide clinical decisions.,"17,435",2015-04-01,month,,"Duarte Sequeira, Eduardo Freire Rodrigues, Luís Patrão",Private,"17,864",,2024-03-18,4,Early Stage Venture,7000000,EUR,7611376,Series A,11150000,EUR,12480463,7000000,EUR,7611376,Series A,11100000,EUR,12427508,"Redstone.VC, Brighteye Ventures, Explorer Investments, Bynd Venture Capital, MSM",7,"Health Care, Mobile",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://uphillhealth.com,https://www.linkedin.com/company/uphill-health,geral@uphillhealth.com,11-50
iCOMAT,https://www.crunchbase.com/organization/icomat,Growing,,"iCOMAT has pioneered the revolutionary Rapid Tow Shearing (RTS) technology, the first ever defect-free fibre-steering process for composites. This game-changing solution has helped customers unlock new levels of performance from composites, enabling them to manufacture lighter, more cost-effective products that perform better than ever before. Originally a spin-out company from the University of Bristol, iCOMAT has developed a patented manufacturing process for advanced carbon fibre composites which are lighter, stronger & more cost-effective than the state-of-the-art processes for the aerospace, automotive & marine sectors. iCOMAT’s innovative technology, Rapid Tow Shearing (RTS), is the world’s first automated composites manufacturing process that can place carbon fibre tapes along curved paths without generating defects. Its defect-free fibre steering capability realises ultra lightweight composite structures beyond the limit of the conventional straight fibre designs & complex geometry which is not manufacturable using current automated manufacturing technologies. Unique in the world of automated composite manufacturing, iCOMAT’s technology is set to revolutionise transport, driving performance & cost-benefits across multiple markets such as aerospace & automotive.  Beyond state-of-the-art lightweighting solutions  - Composite materials are anisotropic, they are only strong in the direction of their fibres. iCOMAT’s specialist technology steers the path of fibres, enabling optimisation of mechanical properties at any point of the structure & ultimately improve all aspects of structural performance. This produces lighter, more efficient components & uses material only where needed in the most efficient way so use of raw materials & overall production costs are drastically reduced. World-Class Composite Manufacturing Systems – iCOMAT is proud to be a market-leading solutions provider, working with customers to elevate product performance to the next-level.",,"Advanced Materials, Aerospace, Automotive, Logistics, Manufacturing, Robotics, Space Travel, Transportation","Bristol, Bristol, City of, United Kingdom",Revolutionary production equipment for the manufacturing of advanced carbon fibre composite parts.,"17,596",2019-01-16,day,,Evangelos Zympeloudis,Private,"18,027",,2024-06-05,3,Early Stage Venture,22500000,USD,22500000,Series A,25945131,USD,25945131,22500000,USD,22500000,Series A,23368130,USD,23368130,"8VC, Leblon Capital, NATO Innovation Fund, Syensqo Ventures, Velocity Partners",5,"Hardware, Manufacturing, Science and Engineering, Software, Transportation",,"Europe, Middle East, and Africa (EMEA)",https://icomat.co.uk/,https://www.linkedin.com/company/icomat-bristol/,evangelos.zympeloudis@icomat.co.uk,11-50
Packmatic,https://www.crunchbase.com/organization/packmatic,Growing,,"Packmatic connects brands with packaging suppliers. Their services include packaging requests, onboarding, kick off calls with packaging engineers, sign off on the final product, and supplier matching. Contact Packmatic at info@packmatic.io.",,"Digital Media, Packaging Services, Supply Chain Management","Berlin, Berlin, Germany",Packmatic is a digital product packaging platform that sources packing solutions.,"17,640",2021-01-01,year,,"Jonas Boland, Matthias Geiss, Paul Schraven, Tobias Linnardi",Private,"18,071",,2024-01-24,2,Early Stage Venture,15000000,EUR,16321947,Series A,15000000,EUR,16321947,15000000,EUR,16321947,Series A,15000000,EUR,16321947,"HV Capital, EQT Ventures, Christian Vollmann, xdeck, David Schneider",16,"Administrative Services, Media and Entertainment, Transportation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.packmatic.io/,https://www.linkedin.com/company/packmatic/?originalSubdomain=de,info@packmatic.com,11-50
Mytos,https://www.crunchbase.com/organization/cytera-cellworks,,,"Mytos is building a fully-automated cell manufacturing platform for biotech, starting with the drug development industry",,"Biotechnology, Hardware, Manufacturing","London, England, United Kingdom",Mytos is building a fully-automated cell manufacture platform for Pharma,"17,687",2018-01-01,year,,"Ali Afshar, Ignacio Willats",Private,"18,118",,2023-11-30,4,Early Stage Venture,19000000,USD,19000000,Series A,20800000,USD,20800000,19000000,USD,19000000,Series A,20800000,USD,20800000,"Y Combinator, Wing Venture Capital, Charlie Songhurst, IQ Capital, Acequia Capital (AceCap)",16,"Biotechnology, Hardware, Manufacturing, Science and Engineering",,"Europe, Middle East, and Africa (EMEA)",https://www.mytos.bio/,https://www.linkedin.com/company/mytosbio/,,11-50
Quantica,https://www.crunchbase.com/organization/quantica-e0b0,Growing,12555,,,"3D Printing, 3D Technology, Manufacturing","Berlin, Berlin, Germany",Quantica is an advanced manufacturing firm that gives users the ability to print functional materials for 2D and 3D applications.,"17,722",2018-01-01,year,,,Private,"18,154",,2024-06-06,2,Early Stage Venture,5700000,EUR,6202239,Series A,19700000,EUR,21598596,5700000,EUR,6202239,Series A,19700000,EUR,21598596,"West Hill Capital, byFounders, Scale Capital, Bigbang Angels",4,"Hardware, Manufacturing, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.q3d.io,https://www.linkedin.com/company/quantica3d,hello@q3d.io,11-50
SURI (Sustainable Rituals),https://www.crunchbase.com/organization/suri-sustainable-rituals,Growing,,"A world-class clean that doesn’t cost our planet. SURI is the new, sustainable electric toothbrush. Delivering an effective clean with innovative plant-based materials.",,"Consumer Goods, Dental, E-Commerce, Retail","London, England, United Kingdom",SURI focuses on providing products in the field of the oral care industry.,"17,822",2020-01-01,year,,"Gyve Safavi, Mark Rushmore",Private,"18,256",,2024-03-11,4,Early Stage Venture,6000000,GBP,7690977,Series A,8000000,GBP,9988726,6000000,GBP,7690977,Series A,8000000,GBP,9988726,"Salica, JamJar Investments, V3 ventures, dmg ventures",4,"Commerce and Shopping, Consumer Goods, Health Care",,"Europe, Middle East, and Africa (EMEA)",https://www.trysuri.com/,https://www.linkedin.com/company/76540687/,hello@trysuri.com,11-50
900.care,https://www.crunchbase.com/organization/900-care,,,"900.care is provided refillable bathroom products. It specializes in dissolving shower gel, chewable toothpaste, and foaming hand gel to dissolve, thereby enabling customers to have products that are good for themselves and for the planet.",,"Consumer Goods, Personal Health","Paris, Ile-de-France, France",900.care provides refillable bathroom products that are better for you and the planet,"17,883",2019-01-01,year,,"Aymeric Grange, Thomas Arnaudo",Private,"18,317",,2024-03-26,4,Early Stage Venture,21000000,EUR,22748248,Series A,36977481,USD,36977481,21000000,EUR,22748248,Series A,36977481,USD,36977481,"360 Capital, Crowdcube, Founders Future, White Star Capital, Lombard Odier",10,"Consumer Goods, Health Care",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://900.care/,https://www.linkedin.com/company/900-care/,,11-50
Mindgram,https://www.crunchbase.com/organization/mindgram,Growing,00-071,Mindgram is a science-based platform and mobile app for complete mental wellness.,,"Health Care, Mental Health, Wellness","Warsaw, Mazowieckie, Poland",Mindgram is a science-based platform and mobile app for complete mental wellness.,"17,888",2020-01-01,year,,"Adam Plona, Jakub Zieliński, Małgorzata Ohme",Private,"18,354",,2024-02-14,3,Early Stage Venture,11000000,PLN,2720033,Series A,12601154,USD,12601154,11000000,PLN,2720033,Series A,12601154,USD,12601154,"PortfoLion Capital Partners, Market One Capital, Smartlink Partners, Credo Ventures, Pamoja Capital",6,Health Care,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://mindgram.com/,https://www.linkedin.com/company/mindgram/about/,,11-50
Kranus Health,https://www.crunchbase.com/organization/kranus-health-gmbh,Growing,80331,Kranus Health is the leading global provider of virtual care in Urology. The company focuses on developing clinically validated therapies for a wide range of indications from Andrology to Uro-Oncology.,,Health Care,"Munich, Bayern, Germany",Virtual Care in Urology,"17,929",2020-07-01,month,,"Jens Noertershaeuser, Kurt Miller, Nikolay Dimolarov, Thilo Kleinschmidt",Private,"18,395",,2024-03-25,5,Early Stage Venture,4600000,EUR,4985045,Series A,21300045,USD,21300045,4600000,EUR,4985045,Series A,21300045,USD,21300045,"HTGF | High-Tech Gruenderfonds, Karista, Future Positive Capital, CapHorn Invest, WENVEST Capital",15,Health Care,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.kranushealth.com/de/,https://www.linkedin.com/company/kranus-health/,,51-100
